date	CPU 1	CPU 2	CPU 3	CPU 4
404	20.06	15.18	5.75	17.11
405	20.06	15.18	5.75	17.11
406	20.06	15.18	5.75	7.71
407	9.71	4.77	4.13	7.71
408	9.71	4.77	4.13	7.71
409	9.71	4.77	4.13	7.71
410	9.71	4.77	4.13	7.71
411	9.71	4.77	4.13	9.81
412	7.13	2.13	4.00	9.81
413	7.13	2.13	4.00	9.81
414	7.13	2.13	4.00	9.81
415	7.13	2.13	4.00	9.81
416	7.13	2.13	4.00	5.39
417	3.31	1.08	2.15	5.39
418	3.31	1.08	2.15	5.39
419	3.31	1.08	2.15	5.39
420	3.31	1.08	2.15	5.39
421	3.31	1.08	2.15	14.27
422	6.71	13.97	9.41	14.27
423	6.71	13.97	9.41	14.27
424	6.71	13.97	9.41	14.27
425	6.71	13.97	9.41	14.27
426	6.71	13.97	9.41	11.27
427	6.07	5.68	3.48	11.27
428	6.07	5.68	3.48	11.27
429	6.07	5.68	3.48	11.27
430	6.07	5.68	3.48	11.27
431	6.07	5.68	3.48	11.94
432	10.69	3.12	3.94	11.94
433	10.69	3.12	3.94	11.94
434	10.69	3.12	3.94	11.94
435	10.69	3.12	3.94	11.94
436	10.69	3.12	3.94	5.46
437	6.33	4.87	2.13	5.46
438	6.33	4.87	2.13	5.46
439	6.33	4.87	2.13	5.46
440	6.33	4.87	2.13	5.46
441	6.33	4.87	2.13	6.88
442	20.07	2.19	0.12	6.88
443	20.07	2.19	0.12	6.88
444	20.07	2.19	0.12	6.88
445	20.07	2.19	0.12	6.88
446	20.07	2.19	0.12	2.32
447	17.25	1.06	0.00	2.32
448	17.25	1.06	0.00	2.32
449	17.25	1.06	0.00	2.32
450	17.25	1.06	0.00	2.32
451	17.25	1.06	0.00	1.06
452	2.95	9.43	0.94	1.06
453	2.95	9.43	0.94	1.06
454	2.95	9.43	0.94	1.06
455	2.95	9.43	0.94	1.06
456	2.95	9.43	0.94	2.87
457	8.56	2.50	1.00	2.87
458	8.56	2.50	1.00	2.87
459	8.56	2.50	1.00	2.87
460	8.56	2.50	1.00	2.87
461	8.56	2.50	1.00	2.06
462	9.00	2.94	1.00	2.06
463	9.00	2.94	1.00	2.06
464	9.00	2.94	1.00	2.06
465	9.00	2.94	1.00	2.06
466	9.00	2.94	1.00	7.62
467	3.38	5.81	1.00	7.62
468	3.38	5.81	1.00	7.62
469	3.38	5.81	1.00	7.62
470	3.38	5.81	1.00	7.62
471	3.38	5.81	1.00	9.87
472	4.87	5.06	4.74	9.87
473	4.87	5.06	4.74	9.87
474	4.87	5.06	4.74	9.87
475	4.87	5.06	4.74	9.87
476	4.87	5.06	4.74	3.45
477	9.68	1.25	2.19	3.45
478	9.68	1.25	2.19	3.45
479	9.68	1.25	2.19	3.45
480	9.68	1.25	2.19	3.45
481	9.68	1.25	2.19	1.13
482	2.50	10.37	2.00	1.13
483	2.50	10.37	2.00	1.13
484	2.50	10.37	2.00	1.13
485	2.50	10.37	2.00	1.13
486	2.50	10.37	2.00	6.61
487	9.48	11.93	2.93	6.61
488	9.48	11.93	2.93	6.61
489	9.48	11.93	2.93	6.61
490	9.48	11.93	2.93	6.61
491	9.48	11.93	2.93	7.00
492	18.42	4.51	3.00	7.00
493	18.42	4.51	3.00	7.00
494	18.42	4.51	3.00	7.00
495	18.42	4.51	3.00	7.00
496	18.42	4.51	3.00	10.75
497	6.81	3.06	3.94	10.75
498	6.81	3.06	3.94	10.75
499	6.81	3.06	3.94	10.75
500	6.81	3.06	3.94	10.75
501	6.81	3.06	3.94	4.50
502	7.86	3.00	1.21	4.50
503	7.86	3.00	1.21	4.50
504	7.86	3.00	1.21	4.50
505	7.86	3.00	1.21	4.50
506	7.86	3.00	1.21	2.12
507	8.00	3.00	0.06	2.12
508	8.00	3.00	0.06	2.12
509	8.00	3.00	0.06	2.12
510	8.00	3.00	0.06	2.12
511	8.00	3.00	0.06	2.94
512	7.06	3.94	0.00	2.94
513	7.06	3.94	0.00	2.94
514	7.06	3.94	0.00	2.94
515	7.06	3.94	0.00	2.94
516	7.06	3.94	0.00	1.13
517	9.80	2.13	1.87	1.13
518	9.80	2.13	1.87	1.13
519	9.80	2.13	1.87	1.13
520	9.80	2.13	1.87	1.13
521	9.80	2.13	1.87	1.00
522	8.13	0.13	1.06	1.00
523	8.13	0.13	1.06	1.00
524	8.13	0.13	1.06	1.00
525	8.13	0.13	1.06	1.00
526	8.13	0.13	1.06	9.43
527	8.00	4.68	2.87	9.43
528	8.00	4.68	2.87	9.43
529	8.00	4.68	2.87	9.43
530	8.00	4.68	2.87	9.43
531	8.00	4.68	2.87	1.56
532	19.25	1.25	2.06	1.56
533	19.25	1.25	2.06	1.56
534	19.25	1.25	2.06	1.56
535	19.25	1.25	2.06	1.56
536	19.25	1.25	2.06	1.94
537	3.13	1.94	0.13	1.94
538	3.13	1.94	0.13	1.94
539	3.13	1.94	0.13	1.94
540	3.13	1.94	0.13	1.94
541	3.13	1.94	0.13	3.87
542	1.06	1.06	0.00	3.87
543	1.06	1.06	0.00	3.87
544	1.06	1.06	0.00	3.87
545	1.06	1.06	0.00	3.87
546	1.06	1.06	0.00	3.07
547	6.61	4.74	2.80	3.07
548	6.61	4.74	2.80	3.07
549	6.61	4.74	2.80	3.07
550	6.61	4.74	2.80	3.07
551	6.61	4.74	2.80	5.78
552	0.51	1.29	1.15	5.78
553	0.51	1.29	1.15	5.78
554	0.51	1.29	1.15	5.78
555	0.51	1.29	1.15	5.78
556	0.51	1.29	1.15	6.00
557	2.81	1.00	1.00	6.00
558	2.81	1.00	1.00	6.00
559	2.81	1.00	1.00	6.00
560	2.81	1.00	1.00	6.00
561	2.81	1.00	1.00	5.07
562	3.00	1.94	1.00	5.07
563	3.00	1.94	1.00	5.07
564	3.00	1.94	1.00	5.07
565	3.00	1.94	1.00	5.07
566	3.00	1.94	1.00	5.00
567	1.12	2.94	1.94	5.00
