date,CPU 1
1782,12.57
1783,12.57
1784,12.57
1785,12.57
1786,12.57
1787,6.44
1788,6.44
1789,6.44
1790,6.44
1791,6.44
1792,12.55
1793,12.55
1794,12.55
1795,12.55
1796,12.55
1797,2.71
1798,2.71
1799,2.71
1800,2.71
1801,2.71
1802,2.00
1803,2.00
1804,2.00
1805,2.00
1806,2.00
1807,2.00
1808,2.00
1809,2.00
1810,2.00
1811,2.00
1812,2.00
1813,2.00
1814,2.00
1815,2.00
1816,2.00
1817,5.74
1818,5.74
1819,5.74
1820,5.74
1821,5.74
1822,8.80
1823,8.80
1824,8.80
1825,8.80
1826,8.80
1827,3.37
1828,3.37
1829,3.37
1830,3.37
1831,3.37
1832,12.36
1833,12.36
1834,12.36
1835,12.36
1836,12.36
1837,6.46
1838,6.46
1839,6.46
1840,6.46
1841,6.46
1842,6.94
1843,6.94
1844,6.94
1845,6.94
1846,6.94
1847,2.32
1848,2.32
1849,2.32
1850,2.32
1851,2.32
1852,11.38
1853,11.38
1854,11.38
1855,11.38
1856,11.38
1857,3.54
1858,3.54
1859,3.54
1860,3.54
1861,3.54
1862,3.00
1863,3.00
1864,3.00
1865,3.00
1866,3.00
1867,14.22
1868,14.22
1869,14.22
1870,14.22
1871,14.22
1872,14.06
1873,14.06
1874,14.06
1875,14.06
1876,14.06
1877,10.25
1878,10.25
1879,10.25
1880,10.25
1881,10.25
1882,3.45
1883,3.45
1884,3.45
1885,3.45
1886,3.45
1887,6.74
1888,6.74
1889,6.74
1890,6.74
1891,6.74
1892,4.19
1893,4.19
1894,4.19
1895,4.19
1896,4.19
1897,1.19
1898,1.19
1899,1.19
1900,1.19
1901,1.19
1902,5.67
1903,5.67
1904,5.67
1905,5.67
1906,5.67
1907,4.12
1908,4.12
1909,4.12
1910,4.12
1911,4.12
1912,4.00
1913,4.00
1914,4.00
1915,4.00
1916,4.00
1917,20.87
1918,20.87
1919,20.87
1920,20.87
1921,20.87
1922,1.37
1923,1.37
1924,1.37
1925,1.37
1926,1.37
1927,0.00
1928,0.00
1929,0.00
1930,0.00
1931,0.00
1932,0.00
1933,0.00
1934,0.00
1935,0.00
1936,0.00
1937,0.00
1938,0.00
1939,0.00
1940,0.00
1941,0.00
1942,0.00
1943,0.00
1944,0.00
1945,0.00
1946,0.00
1947,0.94
1948,0.94
1949,0.94
1950,0.94
1951,0.94
1952,0.07
1953,0.07
1954,0.07
1955,0.07
1956,0.07
1957,0.00
1958,0.00
1959,0.00
1960,0.00
1961,0.00
1962,0.00
1963,0.00
1964,0.00
1965,0.00
1966,0.00
1967,0.00
1968,0.00
1969,0.00
1970,0.00
1971,0.00
1972,0.00
1973,0.00
1974,0.00
1975,0.00
1976,0.00
1977,0.94
1978,0.94
1979,0.94
1980,0.94
1981,0.94
1982,0.06
1983,0.06
1984,0.06
1985,0.06
1986,0.06
1987,2.82
1988,2.82
1989,2.82
1990,2.82
1991,2.82
1992,2.06
1993,2.06
1994,2.06
1995,2.06
1996,2.06
1997,3.87
1998,3.87
1999,3.87
2000,3.87
2001,3.87
2002,0.24
2003,0.24
